Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1572437370542,-0.248,-0.143,9.6,-0.197,0.345,-11.99,347.3
1572437370557,-0.219,-0.201,9.538,0.778,-1.804,-8.477,355.5
1572437370557,-0.5,-0.163,9.441,1.438,0.576,-11.168,347.5
1572437370557,-0.331,-0.126,9.848,-0.535,1.188,-8.958,349.0
1572437370573,-0.248,-0.183,9.371,-0.196,0.294,-10.965,345.0
1572437370573,-0.29,-0.236,9.608,0.744,-0.579,-8.963,348.6
1572437370573,-0.102,-0.214,9.554,2.375,-0.131,-10.59,346.5
1572437370589,-0.386,-0.211,9.631,-0.708,1.261,-10.13,354.0
1572437370589,-0.134,-0.219,9.484,-0.24,-0.771,-10.38,351.5
1572437370589,-0.188,-0.182,9.581,1.108,1.646,-9.446,352.7
1572437370589,-0.321,-0.401,9.668,0.85,6.991,-9.7,359.1
1572437370604,-0.324,0.117,9.619,-4.36,2.827,-10.4,357.5
1572437370604,0.39,-0.87,9.376,1.901,-4.507,-11.235,355.7
1572437370604,-0.14,-0.505,9.469,6.465,-0.589,-8.501,348.5
1572437370623,-0.432,0.83,9.679,-1.312,-1.74,-9.753,357.1
1572437370628,-0.43,-0.378,9.684,-0.864,0.182,-11.115,350.5
1572437370633,-0.184,-0.603,9.61,1.595,0.557,-8.583,346.0
1572437370638,-0.224,0.97,9.478,0.455,-0.614,-11.293,345.2
1572437370643,-0.175,0.99,9.677,-0.591,0.643,-8.552,352.2
1572437370648,0.7,-0.455,9.548,0.514,1.589,-11.265,353.6
1572437370653,-0.48,-0.7,9.535,0.244,-0.662,-9.114,349.4
1572437370658,-0.382,-0.8,9.566,0.599,0.261,-10.193,355.6
1572437370663,-0.291,-0.354,9.522,-0.78,0.262,-9.415,354.2
1572437370668,-0.19,-0.455,9.489,0.233,0.437,-10.525,348.9
1572437370673,-0.11,-0.107,9.721,1.405,0.11,-10.135,351.7
1572437370678,-0.217,-0.81,9.551,0.276,-0.93,-9.677,347.0
1572437370683,-0.103,-0.255,9.506,-0.169,0.676,-10.595,349.9
1572437370688,-0.12,-0.188,9.52,0.428,0.258,-9.582,348.6
1572437370689,-0.236,-0.21,9.691,0.471,0.443,-10.212,346.2
1572437370689,-0.248,-0.265,9.564,0.17,0.416,-9.79,350.4
1572437370689,-0.16,-0.298,9.486,0.2,-0.338,-9.867,351.3
1572437370705,-0.263,-0.205,9.56,0.67,0.79,-10.159,358.8
1572437370705,-0.22,-0.83,9.619,0.709,0.434,-9.802,352.2
1572437370705,-0.58,-0.2,9.59,1.419,0.129,-9.608,350.3
1572437370721,-0.256,-0.192,9.46,-0.113,0.446,-10.5,350.4
1572437370721,-0.337,-0.97,9.566,-0.273,0.282,-9.906,348.8
1572437370721,-0.57,-0.358,9.551,1.18,0.858,-9.883,346.2
1572437370736,-0.99,-0.226,9.579,0.41,-0.107,-9.705,349.8
1572437370736,-0.232,-0.168,9.614,-0.108,0.104,-10.368,342.1
1572437370736,-0.184,-0.142,9.587,0.487,0.205,-9.577,352.5
1572437370752,-0.256,-0.202,9.619,0.704,0.378,-9.971,348.0
1572437370752,-0.166,-0.146,9.601,-0.31,0.901,-10.23,352.3
1572437370752,-0.159,-0.162,9.576,0.459,-0.132,-9.751,355.2
1572437370768,-0.131,-0.255,9.498,1.223,0.694,-9.908,347.9
1572437370768,-0.177,-0.166,9.538,-0.394,-0.135,-9.737,347.1
1572437370768,-0.223,-0.238,9.587,0.197,0.543,-10.292,344.0
1572437370783,-0.79,-0.237,9.575,0.646,0.996,-9.588,346.4
1572437370783,-0.175,-0.126,9.584,0.293,-0.323,-10.211,350.8
1572437370783,-0.182,-0.203,9.59,-0.32,0.491,-9.557,348.8
1572437370783,-0.199,-0.171,9.567,0.409,0.499,-10.88,346.1
1572437370798,-0.206,-0.156,9.626,0.496,0.214,-9.739,349.5
1572437370798,-0.182,-0.184,9.533,0.272,0.195,-9.943,351.5
1572437370798,-0.209,-0.192,9.58,0.132,-0.21,-9.384,346.4
1572437370814,-0.224,-0.248,9.415,0.82,2.159,-10.585,347.0
1572437370814,-0.142,-0.68,9.655,0.309,0.131,-9.279,344.9
