Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1575294124962,-0.141,-0.491,9.577,2.777,-1.55,-9.228,316.9
1575294124967,-0.281,-0.54,9.74,0.432,0.97,-9.937,323.3
1575294124972,-0.204,-0.178,9.538,-2.42,1.41,-9.46,330.0
1575294124975,-0.161,-0.353,9.5,1.784,0.179,-10.477,321.8
1575294124982,-0.266,0.241,9.738,1.363,-0.414,-8.119,323.4
1575294124987,-0.172,-0.282,9.387,-0.19,0.362,-10.566,322.0
1575294124991,-0.275,-0.367,9.642,0.152,2.298,-11.25,327.6
1575294124996,-0.244,0.3,9.647,0.373,-0.141,-8.343,328.1
1575294125001,-0.152,-0.51,9.607,1.1,0.229,-9.649,337.3
1575294125006,-0.74,-0.435,9.554,1.874,1.665,-10.302,321.8
1575294125011,-0.257,-0.384,9.734,-1.8,-0.885,-10.1,326.2
1575294125016,-0.254,-0.53,9.66,-0.754,0.73,-9.99,325.4
1575294125022,-0.114,-0.225,9.528,3.95,2.29,-9.476,320.1
1575294125026,-0.144,-0.268,9.587,0.127,0.635,-10.696,318.0
1575294125031,-0.163,-0.1,9.815,-1.172,-1.12,-8.265,326.5
1575294125036,-0.88,-0.439,9.521,1.181,1.412,-10.262,322.3
1575294125041,-0.213,-0.5,9.64,0.512,0.876,-9.282,328.4
1575294125046,-0.314,-0.302,9.56,0.328,0.945,-9.622,331.1
1575294125051,-0.133,-0.91,9.495,-0.55,-0.12,-10.106,325.5
1575294125056,-0.71,-0.248,9.722,0.956,0.39,-9.275,319.6
1575294125061,-0.285,-0.49,9.589,0.347,1.136,-9.996,321.5
1575294125066,-0.362,-0.32,9.571,-0.526,2.804,-9.399,329.5
1575294125072,-0.44,-0.197,9.778,0.325,-0.321,-9.769,326.6
1575294125077,-0.77,-0.73,9.529,0.968,-0.771,-9.678,321.4
1575294125082,-0.267,-0.314,9.711,1.91,0.915,-9.76,329.3
1575294125087,-0.356,-0.213,9.542,-1.431,1.978,-8.912,321.6
1575294125091,-0.66,-0.286,9.601,-0.551,0.229,-9.91,327.4
1575294125096,-0.199,-0.194,9.657,1.888,-0.76,-9.197,331.0
1575294125101,-0.297,0.32,9.383,0.126,1.5,-10.811,322.5
1575294125106,-0.135,-0.387,9.816,-0.321,0.814,-8.621,324.6
1575294125111,-0.332,-0.259,9.531,-0.968,1.988,-10.236,324.4
1575294125116,-0.51,-0.198,9.526,1.123,-0.961,-9.381,323.8
1575294125121,-0.176,-0.279,9.814,1.13,0.301,-9.629,321.6
1575294125126,-0.313,-0.28,9.437,-1.8,1.846,-11.3,328.1
1575294125131,-0.28,-0.482,9.847,-0.128,0.44,-8.928,328.2
1575294125136,-0.254,0.129,9.558,-0.342,-0.501,-9.846,324.2
1575294125141,-0.17,-0.335,9.442,0.624,0.483,-9.656,330.9
1575294125146,-0.199,-0.369,9.864,-0.302,2.2,-10.111,335.9
1575294125151,-0.397,0.83,9.329,-1.761,0.123,-9.86,331.6
1575294125156,-0.41,-0.4,9.578,1.13,-0.945,-9.591,324.3
1575294125161,-0.159,-0.245,9.704,0.783,1.376,-10.79,328.9
1575294125166,-0.322,-0.17,9.528,-0.59,1.408,-8.234,320.1
